半金比率,ドーピング濃度,予測_抵抗減少量
80,1.0,0.2852045378
81,1.0,0.2852045378
82,1.0,0.2852045378
83,1.0,0.2852045378
84,1.0,0.2852045378
85,1.0,0.2852045378
86,1.0,0.2852045378
87,1.0,0.2852045378
88,1.0,0.2852045378
89,1.0,0.2852045378
90,1.0,0.2852045378
91,1.0,0.2852045378
92,1.0,0.2852045378
93,1.0,0.14647906766666666
94,1.0,0.14647906766666666
95,1.0,0.14647906766666666
96,1.0,0.14647906766666666
97,1.0,0.14647906766666666
98,1.0,0.095949608
99,1.0,0.095949608
100,1.0,0.095949608
80,1.1,0.2852045378
81,1.1,0.2852045378
82,1.1,0.2852045378
83,1.1,0.2852045378
84,1.1,0.2852045378
85,1.1,0.2852045378
86,1.1,0.2852045378
87,1.1,0.2852045378
88,1.1,0.2852045378
89,1.1,0.2852045378
90,1.1,0.2852045378
91,1.1,0.2852045378
92,1.1,0.2852045378
93,1.1,0.14647906766666666
94,1.1,0.14647906766666666
95,1.1,0.14647906766666666
96,1.1,0.14647906766666666
97,1.1,0.14647906766666666
98,1.1,0.095949608
99,1.1,0.095949608
100,1.1,0.095949608
80,1.2000000000000002,0.2852045378
81,1.2000000000000002,0.2852045378
82,1.2000000000000002,0.2852045378
83,1.2000000000000002,0.2852045378
84,1.2000000000000002,0.2852045378
85,1.2000000000000002,0.2852045378
86,1.2000000000000002,0.2852045378
87,1.2000000000000002,0.2852045378
88,1.2000000000000002,0.2852045378
89,1.2000000000000002,0.2852045378
90,1.2000000000000002,0.2852045378
91,1.2000000000000002,0.2852045378
92,1.2000000000000002,0.2852045378
93,1.2000000000000002,0.14647906766666666
94,1.2000000000000002,0.14647906766666666
95,1.2000000000000002,0.14647906766666666
96,1.2000000000000002,0.14647906766666666
97,1.2000000000000002,0.14647906766666666
98,1.2000000000000002,0.095949608
99,1.2000000000000002,0.095949608
100,1.2000000000000002,0.095949608
80,1.3000000000000003,0.2852045378
81,1.3000000000000003,0.2852045378
82,1.3000000000000003,0.2852045378
83,1.3000000000000003,0.2852045378
84,1.3000000000000003,0.2852045378
85,1.3000000000000003,0.2852045378
86,1.3000000000000003,0.2852045378
87,1.3000000000000003,0.2852045378
88,1.3000000000000003,0.2852045378
89,1.3000000000000003,0.2852045378
90,1.3000000000000003,0.2852045378
91,1.3000000000000003,0.2852045378
92,1.3000000000000003,0.2852045378
93,1.3000000000000003,0.14647906766666666
94,1.3000000000000003,0.14647906766666666
95,1.3000000000000003,0.14647906766666666
96,1.3000000000000003,0.14647906766666666
97,1.3000000000000003,0.14647906766666666
98,1.3000000000000003,0.095949608
99,1.3000000000000003,0.095949608
100,1.3000000000000003,0.095949608
80,1.4000000000000004,0.2852045378
81,1.4000000000000004,0.2852045378
82,1.4000000000000004,0.2852045378
83,1.4000000000000004,0.2852045378
84,1.4000000000000004,0.2852045378
85,1.4000000000000004,0.2852045378
86,1.4000000000000004,0.2852045378
87,1.4000000000000004,0.2852045378
88,1.4000000000000004,0.2852045378
89,1.4000000000000004,0.2852045378
90,1.4000000000000004,0.2852045378
91,1.4000000000000004,0.2852045378
92,1.4000000000000004,0.2852045378
93,1.4000000000000004,0.14647906766666666
94,1.4000000000000004,0.14647906766666666
95,1.4000000000000004,0.14647906766666666
96,1.4000000000000004,0.14647906766666666
97,1.4000000000000004,0.14647906766666666
98,1.4000000000000004,0.095949608
99,1.4000000000000004,0.095949608
100,1.4000000000000004,0.095949608
80,1.5000000000000004,0.2852045378
81,1.5000000000000004,0.2852045378
82,1.5000000000000004,0.2852045378
83,1.5000000000000004,0.2852045378
84,1.5000000000000004,0.2852045378
85,1.5000000000000004,0.2852045378
86,1.5000000000000004,0.2852045378
87,1.5000000000000004,0.2852045378
88,1.5000000000000004,0.2852045378
89,1.5000000000000004,0.2852045378
90,1.5000000000000004,0.2852045378
91,1.5000000000000004,0.2852045378
92,1.5000000000000004,0.2852045378
93,1.5000000000000004,0.14647906766666666
94,1.5000000000000004,0.14647906766666666
95,1.5000000000000004,0.14647906766666666
96,1.5000000000000004,0.14647906766666666
97,1.5000000000000004,0.14647906766666666
98,1.5000000000000004,0.095949608
99,1.5000000000000004,0.095949608
100,1.5000000000000004,0.095949608
80,1.6000000000000005,0.17145861166666665
81,1.6000000000000005,0.17145861166666665
82,1.6000000000000005,0.17145861166666665
83,1.6000000000000005,0.17145861166666665
84,1.6000000000000005,0.17145861166666665
85,1.6000000000000005,0.17145861166666665
86,1.6000000000000005,0.17145861166666665
87,1.6000000000000005,0.17145861166666665
88,1.6000000000000005,0.17145861166666665
89,1.6000000000000005,0.17145861166666665
90,1.6000000000000005,0.17145861166666665
91,1.6000000000000005,0.17145861166666665
92,1.6000000000000005,0.17145861166666665
93,1.6000000000000005,0.07604933475
94,1.6000000000000005,0.07604933475
95,1.6000000000000005,0.07604933475
96,1.6000000000000005,0.07604933475
97,1.6000000000000005,0.07604933475
98,1.6000000000000005,0.048327146599999996
99,1.6000000000000005,0.048327146599999996
100,1.6000000000000005,0.048327146599999996
80,1.7000000000000006,0.17145861166666665
81,1.7000000000000006,0.17145861166666665
82,1.7000000000000006,0.17145861166666665
83,1.7000000000000006,0.17145861166666665
84,1.7000000000000006,0.17145861166666665
85,1.7000000000000006,0.17145861166666665
86,1.7000000000000006,0.17145861166666665
87,1.7000000000000006,0.17145861166666665
88,1.7000000000000006,0.17145861166666665
89,1.7000000000000006,0.17145861166666665
90,1.7000000000000006,0.17145861166666665
91,1.7000000000000006,0.17145861166666665
92,1.7000000000000006,0.17145861166666665
93,1.7000000000000006,0.07604933475
94,1.7000000000000006,0.07604933475
95,1.7000000000000006,0.07604933475
96,1.7000000000000006,0.07604933475
97,1.7000000000000006,0.07604933475
98,1.7000000000000006,0.048327146599999996
99,1.7000000000000006,0.048327146599999996
100,1.7000000000000006,0.048327146599999996
80,1.8000000000000007,0.17145861166666665
81,1.8000000000000007,0.17145861166666665
82,1.8000000000000007,0.17145861166666665
83,1.8000000000000007,0.17145861166666665
84,1.8000000000000007,0.17145861166666665
85,1.8000000000000007,0.17145861166666665
86,1.8000000000000007,0.17145861166666665
87,1.8000000000000007,0.17145861166666665
88,1.8000000000000007,0.17145861166666665
89,1.8000000000000007,0.17145861166666665
90,1.8000000000000007,0.17145861166666665
91,1.8000000000000007,0.17145861166666665
92,1.8000000000000007,0.17145861166666665
93,1.8000000000000007,0.07604933475
94,1.8000000000000007,0.07604933475
95,1.8000000000000007,0.07604933475
96,1.8000000000000007,0.07604933475
97,1.8000000000000007,0.07604933475
98,1.8000000000000007,0.048327146599999996
99,1.8000000000000007,0.048327146599999996
100,1.8000000000000007,0.048327146599999996
80,1.9000000000000008,0.17145861166666665
81,1.9000000000000008,0.17145861166666665
82,1.9000000000000008,0.17145861166666665
83,1.9000000000000008,0.17145861166666665
84,1.9000000000000008,0.17145861166666665
85,1.9000000000000008,0.17145861166666665
86,1.9000000000000008,0.17145861166666665
87,1.9000000000000008,0.17145861166666665
88,1.9000000000000008,0.17145861166666665
89,1.9000000000000008,0.17145861166666665
90,1.9000000000000008,0.17145861166666665
91,1.9000000000000008,0.17145861166666665
92,1.9000000000000008,0.17145861166666665
93,1.9000000000000008,0.07604933475
94,1.9000000000000008,0.07604933475
95,1.9000000000000008,0.07604933475
96,1.9000000000000008,0.07604933475
97,1.9000000000000008,0.07604933475
98,1.9000000000000008,0.048327146599999996
99,1.9000000000000008,0.048327146599999996
100,1.9000000000000008,0.048327146599999996
80,2.000000000000001,0.17145861166666665
81,2.000000000000001,0.17145861166666665
82,2.000000000000001,0.17145861166666665
83,2.000000000000001,0.17145861166666665
84,2.000000000000001,0.17145861166666665
85,2.000000000000001,0.17145861166666665
86,2.000000000000001,0.17145861166666665
87,2.000000000000001,0.17145861166666665
88,2.000000000000001,0.17145861166666665
89,2.000000000000001,0.17145861166666665
90,2.000000000000001,0.17145861166666665
91,2.000000000000001,0.17145861166666665
92,2.000000000000001,0.17145861166666665
93,2.000000000000001,0.07604933475
94,2.000000000000001,0.07604933475
95,2.000000000000001,0.07604933475
96,2.000000000000001,0.07604933475
97,2.000000000000001,0.07604933475
98,2.000000000000001,0.048327146599999996
99,2.000000000000001,0.048327146599999996
100,2.000000000000001,0.048327146599999996
80,2.100000000000001,0.17145861166666665
81,2.100000000000001,0.17145861166666665
82,2.100000000000001,0.17145861166666665
83,2.100000000000001,0.17145861166666665
84,2.100000000000001,0.17145861166666665
85,2.100000000000001,0.17145861166666665
86,2.100000000000001,0.17145861166666665
87,2.100000000000001,0.17145861166666665
88,2.100000000000001,0.17145861166666665
89,2.100000000000001,0.17145861166666665
90,2.100000000000001,0.17145861166666665
91,2.100000000000001,0.17145861166666665
92,2.100000000000001,0.17145861166666665
93,2.100000000000001,0.07604933475
94,2.100000000000001,0.07604933475
95,2.100000000000001,0.07604933475
96,2.100000000000001,0.07604933475
97,2.100000000000001,0.07604933475
98,2.100000000000001,0.048327146599999996
99,2.100000000000001,0.048327146599999996
100,2.100000000000001,0.048327146599999996
80,2.200000000000001,0.17145861166666665
81,2.200000000000001,0.17145861166666665
82,2.200000000000001,0.17145861166666665
83,2.200000000000001,0.17145861166666665
84,2.200000000000001,0.17145861166666665
85,2.200000000000001,0.17145861166666665
86,2.200000000000001,0.17145861166666665
87,2.200000000000001,0.17145861166666665
88,2.200000000000001,0.17145861166666665
89,2.200000000000001,0.17145861166666665
90,2.200000000000001,0.17145861166666665
91,2.200000000000001,0.17145861166666665
92,2.200000000000001,0.17145861166666665
93,2.200000000000001,0.07604933475
94,2.200000000000001,0.07604933475
95,2.200000000000001,0.07604933475
96,2.200000000000001,0.07604933475
